sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
/figis/ws/vme/index.html,100,33,4,115,28.957147649587313,0.0,150.60240963855424,2033.2796027861446,13825.0
authority,100,322,4,1663,252.9882969625275,0.0,57.43825387708214,58.44791068351522,1042.0
type,100,381,4,1698,338.24396210427767,0.0,29.239766081871345,25.09936951754386,879.0
criteria,100,417,4,1751,423.2137137428323,0.0,27.412280701754383,13.813219572368421,516.0
scope,100,576,3,2883,505.65052793406636,0.0,19.80982567353407,7.157847167194928,370.0
years,100,4,2,15,2.3970607001075295,0.0,20.27986209693774,12.21940909551815,617.0
search,100,18103,10911,31852,4712.2283069796185,0.0,3.006885768409658,62.76874041555162,21376.0
search vme_type,100,7685,1312,15425,3345.0190746840303,0.0,4.034861200774694,1.4618491264525502,371.0
get?id=23718,100,950,15,4347,847.7919798511897,0.0,4.428501837828263,3.2305574930251097,747.0
get?inventoryIdentifier,200,907,12,6383,850.1654857143991,0.0,9.033831699715433,6.647453306382403,753.5
get?geographicFeatureId,100,1343,74,5289,920.7575196000303,0.0,4.627701420704336,5.061548428895367,1120.0
get geographicFeatureId year,100,1158,46,3089,701.5417235631819,0.0,4.902922141596392,5.376935122082761,1123.0
specificmeasure,100,1717,17,12610,2144.9468314855735,0.25,5.197235070942258,9.52555740346136,1876.8
year specificmeasure,100,792,14,4763,933.6291303831516,0.07,8.196049504139005,8.586882606958445,1072.83
specificmeasure.xml,100,590,13,2794,611.8442203698585,0.01,9.589566551591869,10.538502858889528,1125.33
vmes,100,529,13,2323,454.92651010905047,0.0,12.853470437017995,14.326598650385604,1141.36
TOTAL,1700,2142,2,31852,4620.8928089804085,0.019411764705882354,42.92170575908299,120.09921304946096,2865.254117647059
